train_partseg.py:37: YAMLLoadWarning: calling yaml.load() without Loader=... is deprecated, as the default Loader is unsafe. Please read https://msg.pyyaml.org/load for full details.
  config = yaml.load(f)

**************************

[workers]: 4
****** Lamp: 0.478069
****** Laptop: 0.231076
****** Motorbike: 0.169127
****** Mug: 0.485628
****** Pistol: 0.236180
****** Rocket: 0.071574
****** Skateboard: 0.147571
****** Table: 0.456775
************ Test Loss: 3.464871
************ Class_mIoU: 0.259056
************ Instance_mIoU: 0.334696
****** Airplane: 0.194529
****** Bag: 0.448103
****** Cap: 0.134921
****** Car: 0.240727
****** Chair: 0.310640
****** Earphone: 0.203462
****** Guitar: 0.075253
****** Knife: 0.252332
****** Lamp: 0.477540
****** Laptop: 0.228154
****** Motorbike: 0.169194
****** Mug: 0.486296
****** Pistol: 0.235940
****** Rocket: 0.070218
****** Skateboard: 0.437211
****** Table: 0.456467
************ Test Loss: 3.669799
************ Class_mIoU: 0.276312
************ Instance_mIoU: 0.334134
****** Airplane: 0.137069
****** Bag: 0.446498
****** Cap: 0.135986
****** Car: 0.243793
****** Chair: 0.310570
****** Earphone: 0.202067
****** Guitar: 0.075411
****** Knife: 0.241516
****** Lamp: 0.478130
****** Laptop: 0.246539
****** Motorbike: 0.168513
****** Mug: 0.485776
****** Pistol: 0.236428
****** Rocket: 0.071438
****** Skateboard: 0.164105
****** Table: 0.458769
************ Test Loss: 4.045771
************ Class_mIoU: 0.256413
************ Instance_mIoU: 0.325481
****** Airplane: 0.147392
****** Bag: 0.448626
****** Cap: 0.136519
****** Car: 0.240736
****** Chair: 0.311405
****** Earphone: 0.204601
****** Guitar: 0.075189
****** Knife: 0.247461
****** Lamp: 0.477277
****** Laptop: 0.233689
****** Motorbike: 0.166810
****** Mug: 0.486225
****** Pistol: 0.236820
****** Rocket: 0.070516
****** Skateboard: 0.147981
****** Table: 0.456717
************ Test Loss: 3.930628
************ Class_mIoU: 0.255498
************ Instance_mIoU: 0.325663
****** Airplane: 0.222889
****** Bag: 0.448661
****** Cap: 0.238747
****** Car: 0.240546
****** Chair: 0.298171
****** Earphone: 0.204462
****** Guitar: 0.075740
****** Knife: 0.247430
****** Lamp: 0.478197
****** Laptop: 0.230286
****** Motorbike: 0.167912
****** Mug: 0.487163
****** Pistol: 0.236483
****** Rocket: 0.070340
****** Skateboard: 0.191075
****** Table: 0.456227
************ Test Loss: 3.975403
************ Class_mIoU: 0.268396
************ Instance_mIoU: 0.332129
****** Airplane: 0.221777
****** Bag: 0.448417
****** Cap: 0.134832
****** Car: 0.242602
****** Chair: 0.310012
****** Earphone: 0.204904
****** Guitar: 0.224523
****** Knife: 0.249069
****** Lamp: 0.477031
****** Laptop: 0.228507
****** Motorbike: 0.169047
****** Mug: 0.486752
****** Pistol: 0.236095
****** Rocket: 0.069919
****** Skateboard: 0.147860
****** Table: 0.460330
************ Test Loss: 3.884849
************ Class_mIoU: 0.269480
************ Instance_mIoU: 0.343475
****** Airplane: 0.222660
****** Bag: 0.448574
****** Cap: 0.278211
****** Car: 0.242362
****** Chair: 0.296025
****** Earphone: 0.228899
****** Guitar: 0.225708
****** Knife: 0.248187
****** Lamp: 0.479103
****** Laptop: 0.228210
****** Motorbike: 0.167935
****** Mug: 0.485788
****** Pistol: 0.237331
****** Rocket: 0.072157
****** Skateboard: 0.147529
****** Table: 0.458668
************ Test Loss: 3.656874
************ Class_mIoU: 0.279209
************ Instance_mIoU: 0.340547
****** Airplane: 0.223164
****** Bag: 0.448835
****** Cap: 0.367476
****** Car: 0.240545
****** Chair: 0.296041
****** Earphone: 0.205845
****** Guitar: 0.224145
****** Knife: 0.248874
****** Lamp: 0.479167
****** Laptop: 0.228086
****** Motorbike: 0.168368
****** Mug: 0.486084
****** Pistol: 0.236546
****** Rocket: 0.072686
****** Skateboard: 0.148248
****** Table: 0.457097
************ Test Loss: 3.635624
************ Class_mIoU: 0.283201
************ Instance_mIoU: 0.340223
****** Airplane: 0.222937
****** Bag: 0.447684
****** Cap: 0.365456
****** Car: 0.242245
****** Chair: 0.295860
****** Earphone: 0.248208
****** Guitar: 0.226925
****** Knife: 0.251331
****** Lamp: 0.478200
****** Laptop: 0.228795
****** Motorbike: 0.168846
****** Mug: 0.486180
****** Pistol: 0.236524
****** Rocket: 0.071153
****** Skateboard: 0.336602
****** Table: 0.459423
************ Test Loss: 3.667564
************ Class_mIoU: 0.297898
************ Instance_mIoU: 0.343305
****** Airplane: 0.173468
****** Bag: 0.448800
****** Cap: 0.366455
****** Car: 0.242354
****** Chair: 0.310671
****** Earphone: 0.258371
****** Guitar: 0.223988
****** Knife: 0.252924
****** Lamp: 0.478322
****** Laptop: 0.229336
****** Motorbike: 0.168530
****** Mug: 0.485531
****** Pistol: 0.236924
****** Rocket: 0.071303
****** Skateboard: 0.438004
****** Table: 0.457264
************ Test Loss: 3.588387
************ Class_mIoU: 0.302640
************ Instance_mIoU: 0.341487
****** Airplane: 0.173783
****** Bag: 0.447754
****** Cap: 0.366411
****** Car: 0.240810
****** Chair: 0.310375
****** Earphone: 0.264893
****** Guitar: 0.226450
****** Knife: 0.250546
****** Lamp: 0.477434
****** Laptop: 0.228680
****** Motorbike: 0.168755
****** Mug: 0.486540
****** Pistol: 0.235407
****** Rocket: 0.071682
****** Skateboard: 0.438015
****** Table: 0.456183
************ Test Loss: 3.609327
************ Class_mIoU: 0.302732
************ Instance_mIoU: 0.341033
****** Airplane: 0.172934
****** Bag: 0.448643
****** Cap: 0.363170
****** Car: 0.240726
****** Chair: 0.310343
****** Earphone: 0.309431
****** Guitar: 0.221580
****** Knife: 0.252628
****** Lamp: 0.477396
****** Laptop: 0.228007
****** Motorbike: 0.168842
****** Mug: 0.487022
****** Pistol: 0.236435
****** Rocket: 0.072374
****** Skateboard: 0.437180
****** Table: 0.457417
************ Test Loss: 3.877691
************ Class_mIoU: 0.305258
************ Instance_mIoU: 0.341276
****** Airplane: 0.196533
****** Bag: 0.447876
****** Cap: 0.363481
****** Car: 0.240843
****** Chair: 0.311754
****** Earphone: 0.349923
****** Guitar: 0.226626
****** Knife: 0.252216
****** Lamp: 0.477168
****** Laptop: 0.228283
****** Motorbike: 0.168901
****** Mug: 0.485885
****** Pistol: 0.236299
****** Rocket: 0.071872
****** Skateboard: 0.437138
****** Table: 0.459099
************ Test Loss: 3.469695
************ Class_mIoU: 0.309618
************ Instance_mIoU: 0.345353
****** Airplane: 0.223576
****** Bag: 0.446446
****** Cap: 0.364768
****** Car: 0.242129
****** Chair: 0.306123
****** Earphone: 0.245280
****** Guitar: 0.225066
****** Knife: 0.252045
****** Lamp: 0.477942
****** Laptop: 0.228424
****** Motorbike: 0.169138
****** Mug: 0.486733
****** Pistol: 0.236054
****** Rocket: 0.071370
****** Skateboard: 0.437211
****** Table: 0.458387
************ Test Loss: 3.273065
************ Class_mIoU: 0.304418
************ Instance_mIoU: 0.346532
****** Airplane: 0.224994
****** Bag: 0.448329
****** Cap: 0.366144
****** Car: 0.239362
****** Chair: 0.297156
****** Earphone: 0.213925
****** Guitar: 0.226209
****** Knife: 0.253537
****** Lamp: 0.478834
****** Laptop: 0.229227
****** Motorbike: 0.169024
****** Mug: 0.486148
****** Pistol: 0.236861
****** Rocket: 0.071411
****** Skateboard: 0.437253
****** Table: 0.457777
************ Test Loss: 3.294794
************ Class_mIoU: 0.302262
************ Instance_mIoU: 0.344253
****** Airplane: 0.224242
****** Bag: 0.447388
****** Cap: 0.367587
****** Car: 0.242238
****** Chair: 0.296103
****** Earphone: 0.233654
****** Guitar: 0.222759
****** Knife: 0.251688
****** Lamp: 0.478092
****** Laptop: 0.229595
****** Motorbike: 0.168810
****** Mug: 0.485660
****** Pistol: 0.237057
****** Rocket: 0.065389
****** Skateboard: 0.436691
****** Table: 0.455439
************ Test Loss: 3.334069
************ Class_mIoU: 0.302650
************ Instance_mIoU: 0.343128
****** Airplane: 0.224465
****** Bag: 0.447580
****** Cap: 0.366144
****** Car: 0.240564
****** Chair: 0.300817
****** Earphone: 0.204578
****** Guitar: 0.219928
****** Knife: 0.251971
****** Lamp: 0.478231
****** Laptop: 0.228101
****** Motorbike: 0.168364
****** Mug: 0.486142
****** Pistol: 0.236665
****** Rocket: 0.072632
****** Skateboard: 0.437059
****** Table: 0.456586
************ Test Loss: 3.371321
************ Class_mIoU: 0.301239
************ Instance_mIoU: 0.344258
****** Airplane: 0.224541
****** Bag: 0.448015
****** Cap: 0.362704
****** Car: 0.241336
****** Chair: 0.312289
****** Earphone: 0.204706
****** Guitar: 0.222135
****** Knife: 0.252917
****** Lamp: 0.478204
****** Laptop: 0.228619
****** Motorbike: 0.168775
****** Mug: 0.487215
****** Pistol: 0.236184
****** Rocket: 0.071208
****** Skateboard: 0.436334
****** Table: 0.456738
************ Test Loss: 3.088166
************ Class_mIoU: 0.301995
************ Instance_mIoU: 0.347315
****** Airplane: 0.224170
****** Bag: 0.447963
****** Cap: 0.328623
****** Car: 0.239272
****** Chair: 0.310444
****** Earphone: 0.204288
****** Guitar: 0.226581
****** Knife: 0.251144
****** Lamp: 0.477979
****** Laptop: 0.229519
****** Motorbike: 0.168955
****** Mug: 0.486637
****** Pistol: 0.235696
****** Rocket: 0.070638
****** Skateboard: 0.437153
****** Table: 0.458393
************ Test Loss: 3.335841
************ Class_mIoU: 0.299841
************ Instance_mIoU: 0.347255
****** Airplane: 0.224923
****** Bag: 0.446655
****** Cap: 0.136031
****** Car: 0.242554
****** Chair: 0.310540
****** Earphone: 0.205427
****** Guitar: 0.221120
****** Knife: 0.250790
****** Lamp: 0.478317
****** Laptop: 0.229104
****** Motorbike: 0.169055
****** Mug: 0.486232
****** Pistol: 0.236676
****** Rocket: 0.071072
****** Skateboard: 0.437006
****** Table: 0.458817
************ Test Loss: 3.112288
************ Class_mIoU: 0.287770
************ Instance_mIoU: 0.346657
****** Airplane: 0.224390
****** Bag: 0.448748
****** Cap: 0.135121
****** Car: 0.241990
****** Chair: 0.310433
****** Earphone: 0.203904
****** Guitar: 0.215166
****** Knife: 0.252350
****** Lamp: 0.478929
****** Laptop: 0.228619
****** Motorbike: 0.167841
****** Mug: 0.485962
****** Pistol: 0.236654
****** Rocket: 0.071967
****** Skateboard: 0.437369
****** Table: 0.458753
************ Test Loss: 3.265029
************ Class_mIoU: 0.287387
************ Instance_mIoU: 0.346260
****** Airplane: 0.224373
****** Bag: 0.447475
****** Cap: 0.131592
****** Car: 0.238495
****** Chair: 0.310568
****** Earphone: 0.202765
****** Guitar: 0.227030
****** Knife: 0.252118
****** Lamp: 0.478374
****** Laptop: 0.228736
****** Motorbike: 0.168805
****** Mug: 0.486617
****** Pistol: 0.236265
****** Rocket: 0.225640
****** Skateboard: 0.428905
****** Table: 0.455415
************ Test Loss: 3.064892
************ Class_mIoU: 0.296448
************ Instance_mIoU: 0.346257
****** Airplane: 0.225227
****** Bag: 0.448050
****** Cap: 0.281672
****** Car: 0.240612
****** Chair: 0.308426
****** Earphone: 0.202369
****** Guitar: 0.217053
****** Knife: 0.252066
****** Lamp: 0.477875
****** Laptop: 0.228430
****** Motorbike: 0.168880
****** Mug: 0.485698
****** Pistol: 0.236761
****** Rocket: 0.226495
****** Skateboard: 0.437332
****** Table: 0.456360
************ Test Loss: 3.123499
************ Class_mIoU: 0.305832
************ Instance_mIoU: 0.346284
****** Airplane: 0.224442
****** Bag: 0.448591
****** Cap: 0.237438
****** Car: 0.240788
****** Chair: 0.294304
****** Earphone: 0.229364
****** Guitar: 0.220678
****** Knife: 0.251733
****** Lamp: 0.477427
****** Laptop: 0.228563
****** Motorbike: 0.168791
****** Mug: 0.485666
****** Pistol: 0.237319
****** Rocket: 0.197171
****** Skateboard: 0.415701
****** Table: 0.458083
************ Test Loss: 3.560010
************ Class_mIoU: 0.301004
************ Instance_mIoU: 0.343015
****** Airplane: 0.225116
****** Bag: 0.447004
****** Cap: 0.276167
****** Car: 0.238545
****** Chair: 0.295387
****** Earphone: 0.205253
****** Guitar: 0.224090
****** Knife: 0.253113
****** Lamp: 0.479077
****** Laptop: 0.228157
****** Motorbike: 0.169083
****** Mug: 0.485917
****** Pistol: 0.236439
****** Rocket: 0.226563
****** Skateboard: 0.437001
****** Table: 0.457974
************ Test Loss: 3.455286
************ Class_mIoU: 0.305305
************ Instance_mIoU: 0.343955
